标题,视频链接,封面图链接,时长,发布时间
草訣百韻歌25-30頁孫過庭版本,//v.youku.com/v_show/id_XNTgxNDQyOTAwOA==.html?spm=a2hcb.profile.app.5~5!2~5~5!3~5!2~5~5~A!2&playMode=pugv,"https://m.ykimg.com/054F06016170D168A81376366D0CAC01?x-oss-process=image/resize,w_500",35:29,2021-10-21 10:40
草訣百韻歌31-36頁(完)孫過庭版本,//v.youku.com/v_show/id_XNTgxNDQyNzg5Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06016170D16AA81372B05A066CCE?x-oss-process=image/resize,w_500",36:26,2021-10-21 10:39
草訣百韻歌21-25頁孫過庭版本,//v.youku.com/v_show/id_XNTgxNDQ1MjQ2OA==.html?playMode=pugv,"https://m.ykimg.com/054F0601616F9596A8137237EE0AC484?x-oss-process=image/resize,w_500",28:49,2021-10-20 12:11
草訣百韻歌16-20頁孫過庭版本,//v.youku.com/v_show/id_XNTgxNDQ1MTEzNg==.html?playMode=pugv,"https://m.ykimg.com/054F0601616F9582A806F10C8C03C938?x-oss-process=image/resize,w_500",27:57,2021-10-20 12:11
草訣百韻歌01-05頁孫過庭版本,//v.youku.com/v_show/id_XNTgxNDQ1MDc0NA==.html?playMode=pugv,"https://m.ykimg.com/054F0601616F9396A81BE952870EE8C1?x-oss-process=image/resize,w_500",28:40,2021-10-20 12:03
草訣百韻歌06-10頁孫過庭版本,//v.youku.com/v_show/id_XNTgxNDQ1MDc0OA==.html?playMode=pugv,"https://m.ykimg.com/054F0601616F93B2A81BD02EE6016E26?x-oss-process=image/resize,w_500",31:08,2021-10-20 12:03
草訣百韻歌11-15頁孫過庭版本,//v.youku.com/v_show/id_XNTgxNDQ1MjA0MA==.html?playMode=pugv,"https://m.ykimg.com/054F0601616F93B1A8137954F7013DCD?x-oss-process=image/resize,w_500",28:09,2021-10-20 12:01
乙瑛碑51-61至孝能奉先聖之禮為宗(結束),//v.youku.com/v_show/id_XNTgxMTY0MDIxMg==.html?playMode=pugv,"https://m.ykimg.com/054F0601615F9FE3A81BDBD89809AAC1?x-oss-process=image/resize,w_500",62:13,2021-10-8 09:44
乙瑛碑41-50叩頭死罪敢言之●●●...,//v.youku.com/v_show/id_XNTgxMTY0MDE4OA==.html?playMode=pugv,"https://m.ykimg.com/054F0601615F9FAFA81781F96309C301?x-oss-process=image/resize,w_500",54:02,2021-10-8 09:43
乙瑛碑11-20謹問大常祠曹掾馮牟史...,//v.youku.com/v_show/id_XNTgxMTM3OTE2OA==.html?playMode=pugv,"https://m.ykimg.com/054F0601615D1215A806AD1AC30AE6FB?x-oss-process=image/resize,w_500",58:25,2021-10-6 11:15
乙瑛碑31-40司空公蜀郡成都●●字...,//v.youku.com/v_show/id_XNTgxMTI2NDI5Mg==.html?playMode=pugv,"https://m.ykimg.com/054F0601615D11EFA817A9250C085009?x-oss-process=image/resize,w_500",56:46,2021-10-6 11:15
乙瑛碑21-30寵子孫敬恭明祀傳於罔...,//v.youku.com/v_show/id_XNTgxMTM4MTg5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F0601615D1178A817C76ED4082BFC?x-oss-process=image/resize,w_500",49:57,2021-10-6 11:11
乙瑛碑01-10司徒臣雄司空臣戒稽首...,//v.youku.com/v_show/id_XNTgxMTI1ODEyNA==.html?playMode=pugv,"https://m.ykimg.com/054F0601615D0602A806DA15860B0FF2?x-oss-process=image/resize,w_500",89:41,2021-10-6 10:27
乙瑛碑千字文41指薪修祜永綏吉劭矩步引領俯仰廊廟束帶矜莊徘徊瞻眺,//v.youku.com/v_show/id_XNTgwNTU5OTU5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F0601613E93FD00000101AD001AA0?x-oss-process=image/resize,w_500",12:33,2021-9-13 08:00
乙瑛碑千字文42孤陋寡聞愚蒙等誚謂語助者焉哉乎也陳忠建書,//v.youku.com/v_show/id_XNTgwNTU5OTU5Mg==.html?playMode=pugv,"https://m.ykimg.com/054F0601613E93D1A81BCA0F6F05AAD8?x-oss-process=image/resize,w_500",10:16,2021-9-13 07:59
乙瑛碑千字文39布射僚丸嵇琴阮嘯恬筆倫紙鈞巧任釣釋紛利俗並皆佳妙,//v.youku.com/v_show/id_XNTgwNDgyMTc1Ng==.html?playMode=pugv,"https://m.ykimg.com/054F0601613ABDD3A81332AADA0B355D?x-oss-process=image/resize,w_500",11:17,2021-9-10 10:12
乙瑛碑千字文40毛施淑姿工顰妍笑年矢每催曦暉朗曜璇璣懸斡晦魄環照,//v.youku.com/v_show/id_XNTgwNDgyMzIwNA==.html?playMode=pugv,"https://m.ykimg.com/054F0601613ABDE7A81BE14B350F17DA?x-oss-process=image/resize,w_500",11:56,2021-9-10 10:10
乙瑛碑千字文37嫡後嗣續祭祀蒸嘗稽顙再拜悚懼恐惶牋牒簡要顧答審詳,//v.youku.com/v_show/id_XNTgwNDgxNzE4MA==.html?playMode=pugv,"https://m.ykimg.com/054F0601613ABD2B0000016D0601A835?x-oss-process=image/resize,w_500",14:32,2021-9-10 10:10
乙瑛碑千字文36晝眠夕寐藍筍象床弦歌酒宴接杯舉觴矯手頓足悅豫且康,//v.youku.com/v_show/id_XNTgwNDgxNzE2OA==.html?playMode=pugv,"https://m.ykimg.com/054F0601613ABCD200000158B5057118?x-oss-process=image/resize,w_500",12:30,2021-9-10 10:06
